********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,23-Feb-21,Time,12:44
Core random seed,  1775512646
*******************
Selected Configuration,  1
Session Type,  6
Moyenne Des Sessions,  40


754559,29 69 
754938,73 75 
755154,98 66 
755159,72 69 
755674,51 75 
755888,99 66 
755893,57 69 
755926,86 68 
756125,33 74 
756125,33 65 
756125,33 3 
756299,21 66 
756310,64 69 
759122,91 75 
759282,49 66 
759296,17 69 
759777,26 75 
759851,04 66 
759863,01 69 
760146,79 68 
760372,64 74 
760372,64 65 
760372,64 3 
760767,13 66 
760780,45 69 
761627,42 75 
761735,51 66 
761747,85 69 
762605,2 75 
762762,67 66 
762765,33 69 
764025,76 75 
764368,89 66 
764383,16 69 
764400,37 68 
764663,69 74 
764663,69 65 
764663,69 3 
764994,9 66 
765000,43 69 
765841,81 75 
765907,66 66 
765917,65 69 
767513,94 75 
767742,81 66 
767752,36 69 
768529,58 75 
768790,26 64 
768803,17 68 
769098,66 74 
769098,66 65 
769098,66 3 
769322,9 66 
769336,92 69 
770562,16 75 
770770,91 66 
770788,02 69 
772017,63 75 
772255 66 
772272,51 69 
772629,61 75 
772722,15 66 
772739,61 69 
773106,67 68 
773298,38 74 
773298,38 65 
773298,38 3 
773399,13 66 
773406,8 69 
777309,85 68 
777594,26 74 
777594,26 65 
777594,26 3 
777859,08 66 
777876,72 69 
781613,12 68 
782133,26 74 
782133,26 65 
782133,26 3 
782351,13 66 
782363,46 69 
786149,76 68 
786272,89 74 
786272,89 65 
786272,89 3 
786755,14 66 
786766,82 69 
790085,9 75 
790366,67 64 
790370,01 68 
792697,82 74 
792697,82 65 
792697,82 3 
793247,24 66 
793255,16 69 
794169,31 75 
794335,04 66 
794339,65 69 
796708,21 68 
796849,3 74 
796849,3 65 
796849,3 3 
797746,79 66 
797758,72 69 
800667,07 75 
801275,29 64 
801278,49 68 
801405,67 74 
801405,67 65 
801405,67 3 
801856,26 66 
801861,85 69 
802569,34 75 
802767,53 66 
802779,11 69 
805414,51 68 
806385,08 74 
806385,08 65 
806385,08 3 
807456,03 66 
807466,18 69 
807579,78 75 
807775,02 66 
807783,53 69 
808205,38 75 
808327,13 66 
808333,67 69 
810401,65 68 
810649,12 74 
810649,12 65 
810649,12 3 
810950,77 66 
810951,87 69 
812582,4 75 
812687,11 66 
812703,34 69 
814654,97 68 
814874,43 74 
814874,43 65 
814874,43 3 
815143,6 66 
815155,13 69 
816729,53 75 
816794,42 66 
816806,45 69 
818481,92 75 
818858,43 66 
818874,74 69 
818893,29 68 
819001,86 74 
819001,86 65 
819001,86 3 
819210,9 66 
819224,94 69 
819403,06 75 
819622,06 66 
819625,39 69 
819990,5 75 
820142,45 66 
820159,03 69 
823011,38 68 
829989,67 74 
829989,67 65 
829989,67 3 
830195,18 66 
830200,01 69 
831725,89 75 
831842,23 66 
831851,51 69 
832098,57 75 
832205,88 66 
832218,21 69 
833513,38 75 
833634,69 66 
833652,67 69 
834003,12 68 
834237,29 74 
834237,29 65 
834237,29 3 
834822,05 66 
834836,82 69 
835071,59 75 
835446,25 66 
835454,04 69 
835593,41 75 
835754,21 66 
835770,97 69 
838061,59 75 
838751,67 64 
838756,69 68 
838863,53 74 
838863,53 65 
838863,53 3 
838991,07 66 
839006,72 69 
839402,82 75 
839815,56 66 
839824,01 69 
841001,08 75 
841134,53 66 
841141,76 69 
842157,32 75 
842299,36 66 
842309,26 69 
842861,9 75 
842975,11 64 
842976,39 68 
843889,13 74 
843889,13 65 
843889,13 3 
844163,72 66 
844177,33 69 
845229,43 75 
845395,36 66 
845411,68 69 
846353,36 75 
846583,42 66 
846595,84 69 
847633,42 75 
847742,36 66 
847746,98 69 
847913,83 68 
851813,15 74 
851813,15 65 
851813,15 3 
852135,05 66 
852150,12 69 
855819,75 68 
856077,06 74 
856077,06 65 
856077,06 3 
856327,33 66 
856336,54 69 
860089,73 68 
860982,51 74 
860982,51 65 
860982,51 3 
861170,68 66 
861173,79 69 
864993,31 68 
868113,08 74 
868113,08 65 
868113,08 3 
868583,73 66 
868595,93 69 
872132,08 68 
876137,34 74 
876137,34 4 
876538,77 66 
